Vthermistor,Vreference
2.661430,4.989280
2.661467,4.989284
2.661437,4.989271
2.661439,4.989270
2.661437,4.989264
2.661444,4.989266
2.661430,4.989266
2.661436,4.989265
2.661432,4.989249
2.661412,4.989256
2.661442,4.989237
2.661417,4.989231
2.661444,4.989229
2.661423,4.989238
2.661432,4.989247
2.661419,4.989235
2.661419,4.989234
2.661412,4.989249
2.661411,4.989243
2.661427,4.989250
2.661400,4.989252
2.661423,4.989232
2.661412,4.989246
2.661428,4.989232
2.661403,4.989223
2.661431,4.989220
2.661417,4.989239
2.661411,4.989235
2.661420,4.989226
2.661408,4.989225
2.661426,4.989226
2.661406,4.989245
2.661418,4.989244
2.661407,4.989241
2.661408,4.989253
2.661399,4.989250
2.661412,4.989252
2.661418,4.989251
2.661384,4.989256
2.661402,4.989258
2.661392,4.989274
2.661417,4.989256
2.661384,4.989278
2.661407,4.989274
2.661400,4.989272
2.661396,4.989271
2.661395,4.989281
2.661405,4.989264
2.661386,4.989280
2.661395,4.989290
2.661402,4.989278
2.661380,4.989277
2.661412,4.989270
2.661380,4.989280
2.661389,4.989281
2.661369,4.989280
2.661368,4.989288
2.661368,4.989277
2.661377,4.989275
2.661356,4.989268
2.661332,4.989270
2.661371,4.989262
2.661338,4.989277
2.661355,4.989263
2.661341,4.989264
2.661352,4.989268
2.661325,4.989257
2.661343,4.989269
2.661330,4.989260
2.661327,4.989260
2.661331,4.989258
2.661312,4.989259
2.661344,4.989254
2.661309,4.989257
2.661339,4.989257
2.661302,4.989283
2.661325,4.989262
2.661321,4.989268
2.661304,4.989254
2.661279,4.989262
2.661288,4.989266
2.661303,4.989258
2.661251,4.989277
2.661275,4.989263
2.661242,4.989269
2.661268,4.989275
2.661273,4.989274
2.661289,4.989264
2.661238,4.989265
2.661223,4.989260
2.661228,4.989251
2.661252,4.989252
2.661195,4.989241
2.661228,4.989231
2.661200,4.989235
2.661190,4.989210
2.661192,4.989218
2.661159,4.989231
2.661176,4.989221
2.661155,4.989227
2.661166,4.989233
2.661141,4.989241
2.661160,4.989223
2.661150,4.989225
2.661153,4.989229
2.661139,4.989239
2.661147,4.989222
2.661119,4.989231
2.661102,4.989249
2.661126,4.989235
2.661103,4.989223
2.661115,4.989232
2.661078,4.989239
2.661096,4.989227
2.661095,4.989228
2.661084,4.989238
2.661077,4.989245
2.661097,4.989253
2.661080,4.989258
2.661078,4.989265
2.661078,4.989262
2.661076,4.989285
2.661073,4.989289
2.661102,4.989296
2.661060,4.989308
2.661052,4.989315
2.661074,4.989325
2.661051,4.989331
2.661068,4.989318
2.661039,4.989342
2.661067,4.989328
2.661034,4.989346
2.661053,4.989337
2.661022,4.989347
